Sample ID,Name_InPheno,Name_InGeno,Chosen Reason,Plate,Location,Region,Parent
SA-CB-7-FG-1,SA18-CB-7-FG1,SA18-CB-7-FG1,Diversity,1_2,CB,GOM,SA18-CB-7
SL-BL-11-FG-1,SL18-BL-11-FG1,SL18-BL-11-FG1,Diversity,1_2,BL,SNE,SL18-BL-11
SL-BL-13-MG-1,SL18-BL-13-MG1,SL18-BL-13-MG1,Diversity,1_2,BL,SNE,SL18-BL-13
SL-BL-14-FG-3,SL18-BL-14-FG3,SL18-BL-14-FG3,Diversity,1_2,BL,SNE,SL18-BL-14
SL-BL-17-FG-3,SL18-BL-17-FG3,SL18-BL-17-FG3,Diversity,1_2,BL,SNE,SL18-BL-17
SL-CC-1-FG-2,SL18-CC-1-FG2,SL18-CC-1-FG2,Diversity,1_2,CC,GOM,SL18-CC-1
SL-CC-5-FG-1,SL18-CC-5-FG1,SL18-CC-5-FG1,Diversity,1_2,CC,GOM,SL18-CC-5
SL-CC-6-FG-3,SL18-CC-6-FG3,SL18-CC-6-FG3,Diversity,1_2,CC,GOM,SL18-CC-6
SL-CC-9-FG-1,SL18-CC-9-FG1,SL18-CC-9-FG1,Diversity,1_2,CC,GOM,SL18-CC-9
SL-FI-1-FG-10,SL18-FI-1-FG10,SL18-FI-1-FG10,Diversity,1_2,FI,SNE,SL18-FI-1
SL-FI-1-FG-11,SL18-FI-1-FG11,SL18-FI-1-FG11,Diversity,1_2,FI,SNE,SL18-FI-1
SL-FI-1-FG-12,SL18-FI-1-FG12,SL18-FI-1-FG12,Diversity,1_2,FI,SNE,SL18-FI-1
SL-FI-2-FG-10,SL18-FI-2-FG10,SL18-FI-2-FG10,Diversity,1_2,FI,SNE,SL18-FI-2
SL-FW-12-FG-10,SL18-FW-12-FG10,SL18-FW-12-FG10,Diversity,1_2,FW,SNE,SL18-FW-12
SL-FW-14-FG-13,SL18-FW-14-FG13,SL18-FW-14-FG13,Diversity,1_2,FW,SNE,SL18-FW-14
SL-FW-2-MG-1,SL18-FW-2-MG1,SL18-FW-2-MG1,Diversity,1_2,FW,SNE,SL18-FW-2
SL-JS-16-FG-1,SL18-JS-16-FG1,SL18-JS-16-FG1,Diversity,1_2,JS,GOM,SL18-JS-16
SL-JS-5-FG-1,SL18-JS-5-FG1,SL18-JS-5-FG1,Diversity,1_2,JS,GOM,SL18-JS-5
SL-JS-5-MG-1,SL18-JS-5-MG1,SL18-JS-5-MG1,Diversity,1_2,JS,GOM,SL18-JS-5
SL-LD-13-FG-2,SL18-LD-13-FG2,SL18-LD-13-FG2,Diversity,1_2,LD,GOM,SL18-LD-13
SL-LD-13-FG-1,SL18-LD-13-FG1,SL18-LD-13-FG1,Diversity,1_2,LD,GOM,SL18-LD-13
SL-LD-2-FG-3,SL18-LD-2-FG3,SL18-LD-2-FG3,Diversity,1_2,LD,GOM,SL18-LD-2
SL-LD-9-FG-1,SL18-LD-9-FG1,SL18-LD-9-FG1,Diversity,1_2,LD,GOM,SL18-LD-9
SL-LD-3-MG-2,SL18-LD-3-MG2,SL18-LD-3-MG2,Diversity,1_2,LD,GOM,SL18-LD-3
SL-LL-9-FG-2,SL18-LL-9-FG2,SL18-LL-9-FG2,Diversity,1_2,LL,GOM,SL18-LL-9
SL-TI-3-MG-2,SL18-TI-3-MG2,SL18-TI-3-MG2,Diversity,1_2,TI,SNE,SL18-TI-3
SL-LL-9-FG-1,SL18-LL-9-FG1,SL18-LL-9-FG1,Diversity,1_2,LL,GOM,SL18-LL-9
